Well_Name,Forecast_Month,Date,Forecasted_Production,Model_Used
Well_1,1,2025-06-30,437.72875320088923,Exponential
Well_1,2,2025-07-30,422.35813258402885,Exponential
Well_1,3,2025-08-30,407.5272434251087,Exponential
Well_1,4,2025-09-30,393.2171333308615,Exponential
Well_1,5,2025-10-30,379.40951541158734,Exponential
Well_1,6,2025-11-30,366.0867449123373,Exponential
Well_1,7,2025-12-30,353.23179666468013,Exponential
Well_1,8,2026-01-30,340.82824333024104,Exponential
Well_1,9,2026-02-28,328.8602344082046,Exponential
Well_1,10,2026-03-28,317.3124759799606,Exponential
Well_1,11,2026-04-28,306.1702111650051,Exponential
Well_1,12,2026-05-28,295.4192012631229,Exponential
Well_2,1,2025-06-30,744.1418802270342,Exponential
Well_2,2,2025-07-30,729.0444574530283,Exponential
Well_2,3,2025-08-30,714.2533367169448,Exponential
Well_2,4,2025-09-30,699.7623036509518,Exponential
Well_2,5,2025-10-30,685.5652699665856,Exponential
Well_2,6,2025-11-30,671.6562708968071,Exponential
Well_2,7,2025-12-30,658.0294626899531,Exponential
Well_2,8,2026-01-30,644.6791201545334,Exponential
Well_2,9,2026-02-28,631.599634253837,Exponential
Well_2,10,2026-03-28,618.7855097493427,Exponential
Well_2,11,2026-04-28,606.2313628919392,Exponential
Well_2,12,2026-05-28,593.931919159987,Exponential
Well_3,1,2025-06-30,200.97862663835278,Exponential
Well_3,2,2025-07-30,188.4401675751108,Exponential
Well_3,3,2025-08-30,176.68394569952505,Exponential
Well_3,4,2025-09-30,165.661159558828,Exponential
Well_3,5,2025-10-30,155.32605227781735,Exponential
Well_3,6,2025-11-30,145.6357216167124,Exponential
Well_3,7,2025-12-30,136.54994187893612,Exponential
Well_3,8,2026-01-30,128.03099692954123,Exponential
Well_3,9,2026-02-28,120.0435236311205,Exponential
Well_3,10,2026-03-28,112.55436504728482,Exponential
Well_3,11,2026-04-28,105.53243280434026,Exponential
Well_3,12,2026-05-28,98.94857803981056,Exponential
Well_4,1,2025-06-30,1029.9257992296373,Exponential
Well_4,2,2025-07-30,1012.8700923806366,Exponential
Well_4,3,2025-08-30,996.0968302828372,Exponential
Well_4,4,2025-09-30,979.6013356139684,Exponential
Well_4,5,2025-10-30,963.3790085088332,Exponential
Well_4,6,2025-11-30,947.4253252766065,Exponential
Well_4,7,2025-12-30,931.7358371393801,Exponential
Well_4,8,2026-01-30,916.3061689915933,Exponential
Well_4,9,2026-02-28,901.1320181800097,Exponential
Well_4,10,2026-03-28,886.2091533038968,Exponential
Well_4,11,2026-04-28,871.5334130350756,Exponential
Well_4,12,2026-05-28,857.1007049575094,Exponential
Well_5,1,2025-06-30,187.32142629812878,Exponential
Well_5,2,2025-07-30,175.63665536801477,Exponential
Well_5,3,2025-08-30,164.68075926224648,Exponential
Well_5,4,2025-09-30,154.4082720908426,Exponential
Well_5,5,2025-10-30,144.77656404360232,Exponential
Well_5,6,2025-11-30,135.74566448059073,Exponential
Well_5,7,2025-12-30,127.27809605791924,Exponential
Well_5,8,2026-01-30,119.33871920045885,Exponential
Well_5,9,2026-02-28,111.8945862760637,Exponential
Well_5,10,2026-03-28,104.91480486614208,Exponential
Well_5,11,2026-04-28,98.37040956516135,Exponential
Well_5,12,2026-05-28,92.23424177706728,Exponential
